fileName	gameId	fileId	modId	url
@_sload(en).esp	100	1000057246	56982	https://www.nexusmods.com/morrowind/mods/56982
@_sload(ru).esp	100	1000057246	56982	https://www.nexusmods.com/morrowind/mods/56982
@_weaponSuit(BM).esp	100	67167	34278	https://www.nexusmods.com/morrowind/mods/34278
@_weaponSuit(BM).esp	100	67167	34278	https://www.nexusmods.com/morrowind/mods/34278
@_weaponSuit(BM).esp	100	1000035852	52283	https://www.nexusmods.com/morrowind/mods/52283
@_weaponSuit(BM).esp	100	1000035852	52283	https://www.nexusmods.com/morrowind/mods/52283
@_weaponSuit(BM-noScript).esp	100	67167	34278	https://www.nexusmods.com/morrowind/mods/34278
@_weaponSuit(BM-noScript).esp	100	67167	34278	https://www.nexusmods.com/morrowind/mods/34278
@_weaponSuit(BM-noScript).esp	100	1000035852	52283	https://www.nexusmods.com/morrowind/mods/52283
@_weaponSuit(BM-noScript).esp	100	1000035852	52283	https://www.nexusmods.com/morrowind/mods/52283
@_weaponSuit.esp	100	67167	34278	https://www.nexusmods.com/morrowind/mods/34278
@_weaponSuit.esp	100	1000035852	52283	https://www.nexusmods.com/morrowind/mods/52283
@_weaponSuit.esp	100	1000035852	52283	https://www.nexusmods.com/morrowind/mods/52283
@_weaponSuit_patch.0.4.esp	100	1000035852	52283	https://www.nexusmods.com/morrowind/mods/52283
A Balmora Touch Up.esp	100	1000040572	53468	https://www.nexusmods.com/morrowind/mods/53468
A Bard's Life.esp	100	1000008573	44359	https://www.nexusmods.com/morrowind/mods/44359
A Bard's Life.esp	100	1000016749	44359	https://www.nexusmods.com/morrowind/mods/44359
A Bard's Life.esp	100	1000027160	44359	https://www.nexusmods.com/morrowind/mods/44359
A Christmas Carol.esp	100	1000035412	52309	https://www.nexusmods.com/morrowind/mods/52309
A Christmas Carol.esp	100	1000035430	52309	https://www.nexusmods.com/morrowind/mods/52309
A Cold Cell.ESP	100	1000040123	52832	https://www.nexusmods.com/morrowind/mods/52832
A Conjurer's Calling.ESP	100	1000030354	51070	https://www.nexusmods.com/morrowind/mods/51070
A Cure for Vampirism - Skink's Solution.ESP	100	1000027194	47375	https://www.nexusmods.com/morrowind/mods/47375
A Cure for Vampirism - Skink's Solution.ESP	100	1000044389	54553	https://www.nexusmods.com/morrowind/mods/54553
A Dagon Fel House.esp	100	20399	15325	https://www.nexusmods.com/morrowind/mods/15325
A Familiar Song_v1.1.esp	100	1000042094	53951	https://www.nexusmods.com/morrowind/mods/53951
A Family Lost.ESP	100	1000047101	54471	https://www.nexusmods.com/morrowind/mods/54471
A Fowl Wish.esp	100	1000045852	54723	https://www.nexusmods.com/morrowind/mods/54723
A Hermit's Request.esp	100	90609	23714	https://www.nexusmods.com/morrowind/mods/23714
A Hermit's Request.esp	100	90610	23714	https://www.nexusmods.com/morrowind/mods/23714
A Hermit's Request.esp	100	1000022246	49155	https://www.nexusmods.com/morrowind/mods/49155
A Hermit's Request.esp	100	1000035650	52318	https://www.nexusmods.com/morrowind/mods/52318
A Hero's Welcome CN.ESP	100	1000042296	54053	https://www.nexusmods.com/morrowind/mods/54053
A Hero's Welcome.ESP	100	1000041827	52812	https://www.nexusmods.com/morrowind/mods/52812
A Hero's Welcome.ESP	100	1000044390	54553	https://www.nexusmods.com/morrowind/mods/54553
A Humble Home.ESP	100	90579	42223	https://www.nexusmods.com/morrowind/mods/42223
A Lovers Quarrel.esp	100	1000052561	52679	https://www.nexusmods.com/morrowind/mods/52679
A Merchant's Whim.ESP	100	1000042398	51068	https://www.nexusmods.com/morrowind/mods/51068
A Merchant's Whim.ESP	100	1000042398	51068	https://www.nexusmods.com/morrowind/mods/51068
A Merchant's Whim.ESP	100	1000047740	54147	https://www.nexusmods.com/morrowind/mods/54147
A Neat Little Table Chairs Diamonds And A Shady Fello.esp	100	42200	24392	https://www.nexusmods.com/morrowind/mods/24392
A New Hope - Chargen Reworked.ESP	100	1000057806	55968	https://www.nexusmods.com/morrowind/mods/55968
A Rock To Remember v1.0.esp	100	1000015559	47109	https://www.nexusmods.com/morrowind/mods/47109
A Strange Plant_PL.esp	100	1000014385	46714	https://www.nexusmods.com/morrowind/mods/46714
A TRUE MAGISTER.ESP	100	1000031334	51439	https://www.nexusmods.com/morrowind/mods/51439
A Tale of Two Blacksmiths BCoM compatible.esp	100	1000044851	54553	https://www.nexusmods.com/morrowind/mods/54553
A Tale of Two Blacksmiths BCoM compatible.esp	100	1000047927	54665	https://www.nexusmods.com/morrowind/mods/54665
